movie_id,genre_id
a-taxi-driver,4
a-taxi-driver,15
a-teacher,4
a-thousand-cuts,1
a-thousand-peace-clouds-encircle-the-sky,4
a-thousand-peace-clouds-encircle-the-sky,9
a-thousand-words,4
a-thousand-words,8
a-thousand-years-of-good-prayers,4
a-thousand-years-of-good-prayers,9
a-time-for-drunken-horses,4
a-time-for-drunken-horses,14
a-touch-of-sin,4
a-town-called-panic,22
a-united-kingdom,17
a-united-kingdom,4
a-united-kingdom,9
a-very-british-gangster,13
a-very-british-gangster,1
a-very-harold-kumar-christmas,8
a-very-long-engagement,4
a-very-long-engagement,5
a-very-long-engagement,9
a-very-long-engagement,14
a-vigilante,4
a-vigilante,5
a-vigilante,6
a-vigilante,13
a-walk-among-the-tombstones,2
a-walk-among-the-tombstones,4
a-walk-among-the-tombstones,5
a-walk-among-the-tombstones,6
a-walk-among-the-tombstones,13
a-walk-in-the-woods,10
a-walk-in-the-woods,4
a-walk-in-the-woods,8
a-walk-to-remember,4
a-walk-to-remember,9
a-war,4
a-war,14
a-warriors-heart,2
a-warriors-heart,4
a-warriors-heart,16
a-warriors-heart,12
a-week-away,18
a-whale-of-a-tale,1
a-white-white-day,4
a-wolf-at-the-door,4
a-wolf-at-the-door,6
a-wolf-at-the-door,13
a-woman-a-part,4
a-woman-in-berlin,4
a-woman-in-berlin,14
a-woman-is-a-woman,4
a-woman-is-a-woman,8
a-woman-is-a-woman,9
a-woman-is-a-woman,18
a-womans-life,4
a-wrinkle-in-time,10
a-wrinkle-in-time,3
a-wrinkle-in-time,11
a-wrinkle-in-time,12
a-year-without-love,4
aardvark,4
abacus-small-enough-to-jail,1
abandon,4
abandon,5
abandon,6
abattoir,6
abattoir,7
abc-africa,1
abcd,4
abcs-of-death-2,7
abcs-of-death-2,8
abduction,2
abduction,6
abduction-the-megumi-yokota-story,5
abduction-the-megumi-yokota-story,13
abduction-the-megumi-yokota-story,1
abe,4
abe,8
abe,12
aberdeen,4
abigail-harm,4
abominable-2019,10
abominable-2019,11
abominable-2019,8
abominable-2019,22
abominable-2019,12
abortion-stories-women-tell,1
about-a-boy,4
about-a-boy,8
about-a-boy,9
about-adam,8
about-adam,9
about-alex,4
about-cherry,4
about-elly-2009,4
about-elly-2009,5
about-endlessness,4
about-endlessness,11
about-last-night,4
about-last-night,8
about-last-night,9
about-schmidt,4
about-schmidt,8
about-time,3
about-time,4
about-time,11
about-time,8
about-time,9
above-and-beyond,10
above-and-beyond,15
above-and-beyond,14
above-and-beyond,1
above-suspicion,2
above-suspicion,17
above-suspicion,6
above-suspicion,13
abraham-lincoln-vampire-hunter,2
abraham-lincoln-vampire-hunter,6
abraham-lincoln-vampire-hunter,11
abraham-lincoln-vampire-hunter,7
absolute-wilson,1
absolutely-anything,3
absolutely-anything,8
absolutely-fabulous-the-movie,8
absolutely-fabulous-the-movie,13
abundant-acreage-available,4
abuse-of-weakness,4
acas-my-home,1
accepted,8
accidental-courtesy-daryl-davis-race-america,17
accidental-courtesy-daryl-davis-race-america,15
accidental-courtesy-daryl-davis-race-america,1
accidental-love,8
accidental-love,9
acod,8
across-the-universe,10
across-the-universe,4
across-the-universe,9
across-the-universe,18
act-of-valor,2
act-of-valor,10
act-of-valor,6
action-point,2
action-point,10
action-point,8
active-measures,1
actor-martinez,4
actress,4
actress,1
acts-of-worship,4
ad-astra,10
ad-astra,3
ad-astra,4
ad-astra,5
ad-astra,6
adam,4
adam,8
adam,9
adam-2019,8
adam-resurrected,4
adam-resurrected,14
adam-steve,8
adam-steve,9
adams-apples,4
adams-apples,8
adanggaman,4
adaptation,4
adaptation,8
adaptation,13
addicted,4
addicted,6
addicted-to-fresno,8
addiction-incorporated,17
addiction-incorporated,1
admission,4
admission,8
admission,9
adopt-a-highway,4
adoration,4
adore,4
adored,4
adorenarin-doraibu,8
adrift-2018,2
adrift-2018,10
adrift-2018,4
adrift-2018,6
adrift-2018,9
adult-beginners,4
adult-beginners,8
adult-life-skills,4
adult-life-skills,8
adult-world,8
advanced-style,17
advanced-style,4
advanced-style,8
advanced-style,12
advanced-style,1
advantageous,3
advantageous,4
advantageous,12
adventureland,4
adventureland,8
adventureland,9
adventures-of-power,8
adventures-of-power,18
ae-fond-kiss,4
ae-fond-kiss,9
aferim!,10
aferim!,4
aferim!,15
aferim!,8
aferim!,21
affluenza,4
afghan-star,18
afghan-star,1
african-cats,1
after,4
after,5
after-2019,4
after-2019,9
after-auschwitz,1
after-earth,2
after-earth,10
after-earth,3
after-earth,5
after-everything,4
after-everything,8
after-fall-winter,4
after-innocence,1
after-love,4
after-midnight,8
after-midnight,9
after-parkland,1
after-the-cup-sons-of-sakhnin-united,1
after-the-dark,3
after-the-dark,4
after-the-dark,6
after-the-dark,11
