movie_id,url,title,genre,metascore,userscore,RelDate,rating_id
stalins-wife,https://www.metacritic.com/movie/stalins-wife,Stalin's Wife,Documentary,44,,2005-04-29,0
stan-ollie,https://www.metacritic.com/movie/stan-ollie,Stan & Ollie,"Biography,Drama,Comedy",75,7.4,2018-12-28,1
stand-clear-of-the-closing-doors,https://www.metacritic.com/movie/stand-clear-of-the-closing-doors,Stand Clear of the Closing Doors,Drama,86,6.8,2014-05-23,0
stand-up-guys,https://www.metacritic.com/movie/stand-up-guys,Stand Up Guys,"Comedy,Crime",41,7.9,2012-12-14,2
standard-operating-procedure,https://www.metacritic.com/movie/standard-operating-procedure,Standard Operating Procedure,"Crime,War,Documentary",70,7.6,2008-04-25,2
stander,https://www.metacritic.com/movie/stander,Stander,"Action,Biography,Drama,Crime",62,8.7,2004-08-06,2
standing-by-yourself,https://www.metacritic.com/movie/standing-by-yourself,Standing by Yourself,Documentary,54,,2002-05-15,0
standing-in-the-shadows-of-motown,https://www.metacritic.com/movie/standing-in-the-shadows-of-motown,Standing in the Shadows of Motown,"Music,Documentary",76,8.0,2002-11-15,1
standing-still,https://www.metacritic.com/movie/standing-still,Standing Still,"Drama,Comedy,Romance",38,7.8,2006-04-21,2
standing-tall,https://www.metacritic.com/movie/standing-tall,Standing Tall,Drama,59,,2016-04-01,2
standing-up-falling-down,https://www.metacritic.com/movie/standing-up-falling-down,"Standing Up, Falling Down","Drama,Comedy",70,6.6,2020-02-21,0
star-trek,https://www.metacritic.com/movie/star-trek,Star Trek,"Action,Adventure,Sci-Fi",82,7.9,2009-05-07,1
star-trek-beyond,https://www.metacritic.com/movie/star-trek-beyond,Star Trek Beyond,"Action,Adventure,Sci-Fi,Thriller",68,6.7,2016-07-22,1
star-trek-into-darkness,https://www.metacritic.com/movie/star-trek-into-darkness,Star Trek Into Darkness,"Action,Adventure,Sci-Fi,Thriller",72,7.7,2013-05-15,1
star-trek-nemesis,https://www.metacritic.com/movie/star-trek-nemesis,Star Trek: Nemesis,"Action,Sci-Fi,Thriller",51,6.3,2002-12-13,1
star-wars-episode-ii---attack-of-the-clones,https://www.metacritic.com/movie/star-wars-episode-ii---attack-of-the-clones,Star Wars: Episode II - Attack of the Clones,"Action,Adventure,Sci-Fi,Fantasy",54,6.1,2002-05-16,1
star-wars-episode-iii---revenge-of-the-sith,https://www.metacritic.com/movie/star-wars-episode-iii---revenge-of-the-sith,Star Wars: Episode III - Revenge of the Sith,"Action,Sci-Fi,Fantasy",68,7.8,2005-05-19,1
star-wars-episode-ix---the-rise-of-skywalker,https://www.metacritic.com/movie/star-wars-episode-ix---the-rise-of-skywalker,Star Wars: Episode IX - The Rise of Skywalker,"Action,Adventure,Sci-Fi,Fantasy",53,4.6,2019-12-20,1
star-wars-episode-vii---the-force-awakens,https://www.metacritic.com/movie/star-wars-episode-vii---the-force-awakens,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi,Fantasy",80,6.7,2015-12-18,1
star-wars-episode-viii---the-last-jedi,https://www.metacritic.com/movie/star-wars-episode-viii---the-last-jedi,Star Wars: Episode VIII - The Last Jedi,"Action,Adventure,Sci-Fi,Fantasy",84,4.1,2017-12-15,1
star-wars-the-clone-wars,https://www.metacritic.com/movie/star-wars-the-clone-wars,Star Wars: The Clone Wars,"Action,Adventure,Sci-Fi,Thriller,Animation",35,5.7,2008-08-15,1
starbuck,https://www.metacritic.com/movie/starbuck,Starbuck,Comedy,49,7.1,2013-03-22,2
stardom,https://www.metacritic.com/movie/stardom,Stardom,"Drama,Comedy",36,,2000-10-27,2
stardust,https://www.metacritic.com/movie/stardust,Stardust,"Adventure,Fantasy,Romance,Family",66,8.6,2007-08-10,1
stardust-2020,https://www.metacritic.com/movie/stardust-2020,Stardust,"Biography,Drama,Music",35,4.2,2020-11-25,0
stargirl,https://www.metacritic.com/movie/stargirl,Stargirl,"Drama,Comedy,Romance",61,7.4,2020-03-13,1
starless-dreams,https://www.metacritic.com/movie/starless-dreams,Starless Dreams,Documentary,85,,2017-01-20,0
starlet,https://www.metacritic.com/movie/starlet,Starlet,Drama,74,6.6,2012-11-09,0
starred-up,https://www.metacritic.com/movie/starred-up,Starred Up,Drama,81,8.1,2014-08-27,0
stars-in-shorts,https://www.metacritic.com/movie/stars-in-shorts,Stars in Shorts,Comedy,49,,2012-09-28,0
starsky-hutch,https://www.metacritic.com/movie/starsky-hutch,Starsky & Hutch,"Action,Comedy,Crime",55,8.3,2004-03-05,1
starter-for-10,https://www.metacritic.com/movie/starter-for-10,Starter for 10,"Drama,Comedy,Romance",69,7.3,2007-02-23,1
starting-out-in-the-evening,https://www.metacritic.com/movie/starting-out-in-the-evening,Starting Out in the Evening,"Drama,Romance",78,7.6,2007-11-23,1
startupcom,https://www.metacritic.com/movie/startupcom,Startup.com,Documentary,75,7.0,2001-05-11,2
starving-the-beast,https://www.metacritic.com/movie/starving-the-beast,Starving the Beast,Documentary,77,,2016-09-02,0
state-and-main,https://www.metacritic.com/movie/state-and-main,State and Main,"Drama,Comedy",75,6.2,2000-12-22,2
state-funeral,https://www.metacritic.com/movie/state-funeral,State Funeral,"History,Documentary",81,,2021-05-07,0
state-like-sleep,https://www.metacritic.com/movie/state-like-sleep,State Like Sleep,Drama,48,,2019-01-04,0
state-of-fear,https://www.metacritic.com/movie/state-of-fear,State of Fear,Documentary,74,,2006-01-11,0
state-of-play,https://www.metacritic.com/movie/state-of-play,State of Play,"Drama,Mystery,Thriller",64,7.8,2009-04-17,1
state-property,https://www.metacritic.com/movie/state-property,State Property,"Action,Drama,Crime",9,3.2,2002-01-18,2
state-property-2,https://www.metacritic.com/movie/state-property-2,State Property 2,"Action,Drama,Crime,Musical",33,4.8,2005-04-13,2
staten-island-summer,https://www.metacritic.com/movie/staten-island-summer,Staten Island Summer,Comedy,41,5.9,2015-07-24,2
states-of-control,https://www.metacritic.com/movie/states-of-control,States of Control,Drama,32,,2001-04-13,0
stateside,https://www.metacritic.com/movie/stateside,Stateside,"Drama,Romance",35,,2004-05-21,2
stations-of-the-cross,https://www.metacritic.com/movie/stations-of-the-cross,Stations of the Cross,Drama,68,7.4,2015-07-10,0
stay,https://www.metacritic.com/movie/stay,Stay,"Drama,Mystery,Thriller",41,8.5,2005-10-21,2
stay-2014,https://www.metacritic.com/movie/stay-2014,Stay,Drama,48,,2014-03-21,0
stay-alive,https://www.metacritic.com/movie/stay-alive,Stay Alive,"Thriller,Horror",24,7.5,2006-03-24,1
staying-vertical,https://www.metacritic.com/movie/staying-vertical,Staying Vertical,"Drama,Comedy",65,7.5,2017-01-20,0
steal-a-pencil-for-me,https://www.metacritic.com/movie/steal-a-pencil-for-me,Steal a Pencil for Me,"Romance,Documentary",69,,2007-11-09,0
steal-me,https://www.metacritic.com/movie/steal-me,Steal Me,Drama,43,,2005-09-09,0
steal-this-movie,https://www.metacritic.com/movie/steal-this-movie,Steal This Movie,"Biography,Drama,Romance",36,4.6,2000-08-18,2
stealing-harvard,https://www.metacritic.com/movie/stealing-harvard,Stealing Harvard,"Drama,Comedy,Crime",25,1.6,2002-09-13,1
stealing-the-fire,https://www.metacritic.com/movie/stealing-the-fire,Stealing the Fire,Documentary,64,,2002-10-16,0
stealth,https://www.metacritic.com/movie/stealth,Stealth,"Action,Adventure,Sci-Fi,Thriller",35,5.8,2005-07-29,1
steamboy,https://www.metacritic.com/movie/steamboy,Steamboy,"Action,Adventure,Sci-Fi,Thriller,Animation,Family",66,8.7,2005-03-18,1
